sampels,sampels_1,BPA_ID,Sample Site,Depth_BIN,Depth_MLD,Depth,Water.mass,Latitude (decimal degrees),Depth (m),T,S,O2,Si,NO3,NO2,PO4,NH4,Chl c3,Chl c2,Chl c1,Chlide a,Phide a,Perid,But-fuco,Fuco,Neo,Pras,Viola,Hex-fuco,Astax,Diadino,Allo,Diato,Zea,Lut,DV chl b,Chl b,DV Chl a,Tot. MV Chl a,carotene mix,Micro,Nano,Pico,T.Pig,PON_nmol.L,POC_nmol.L,d15N,d13C,C:N,NO3.Up,NH4.Up,P.P.,N2_Fix,C_ug.L,N_ug.L,Domint WM Category,Secondary WM Category,Stn_nbr,Depth_m,Longitude,SW,PEW,EQ13W,SAMW,AAIW,UCDW,LCDW,NPDW,AABW,total%,Date sampled (YYYY-MM-DD),Time sampled (hh:mm),Subset,SubsetDepth,Longitude (decimal degrees),GO_SHIPS_CTD_no,Bottom depth,Pressure bottle,number,ID,NCBI_Submission,NCBI Sample Accession,Organism,Tax ID,Sampleme_depth,NCBI BioProject,DayLength,Stratificaiton..Tsurface.Tsample.,NRS_Location_code; Voyage_code,geo_loc (country:subregion),Oxygen (_mol/L) Lab,Chlf: CTD,Salinity [PSU] Lab,Biomass (mg/m3),Microplankotn,noplankton,Picoplankton,d13C,Total CO2 (_mol/kg),Total alkalinity (_mol/kg),"Total Bacteria
 (cells/mL)","Bacteria and Not Phototrophs
 (cells/mL)"
G37053,P15S_3535,37053,3535,2,1,Depth_2,STF,-50.00695,36.6,10.396,34.455,269.5,1.42,9.55,0.31,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,60,20,-171.80615,0,0.587,0.104,0.284,0,0,0,0,0,0.975,42521,0.333333333,2,0,-171.80615,60,4930,20,736,102.100.100/37190,TRUE,SAMN08218987,marine metagenome,408172,102.100.100/37190_20,PRJ385736,579,-0.002,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,,0.68,,,0.074223083,0.096728502,0.814940704,,2096.2,2289,,
G37059,P15S_3634,37059,3634,2,1,Depth_2,STF,-49.4991,19.2,9.058,34.288,278,2.11,14.18,0.29,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,60,65.4,-171.80615,0,0.564,0.108,0.296,0,0,0,0,0,0.968,42521,0.333333333,2,0,-171.80615,60,4930,65.4,735,102.100.100/37189,TRUE,SAMN08218986,marine metagenome,408172,102.100.100/37189_65,PRJ385736,579,-0.011,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,,0.63,,,0.066798617,0.099321663,0.818369567,,,,,
G37065,P15S_3734,37065,3734,2,1,Depth_2,STF,-48.9954,50.4,10.315,34.501,269.5,1.45,10.14,0.31,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,61,5,-171.5002,0,0.649,0.1,0.241,0,0,0,0,0,0.99,42521,0.61875,2,0,-171.5002,61,4948,5,206,102.100.100/34423,FALSE,,,,,,582,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,236.6,0.47,35.3225,0.1272,0.073419807,0.088433359,0.828719889,,2129.5,2289.5,,
G34672,P15S_3835,34672,3835,2,1,Depth_2,STF,-48.502467,35,10.575,34.531,268,1.42,9.16,0.27,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,61,25.2,-171.5002,0,0.629,0.102,0.253,0,0,0,0,0,0.984,42521,0.61875,2,0,-171.5002,61,4948,25.2,742,102.100.100/37196,TRUE,SAMN08218993,marine metagenome,408172,102.100.100/37196_25,PRJ385736,582,0.004,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,236.7,0.3,35.3223,,0.046581414,0.023725473,0.919525053,,,,,
G34678,P15S_3934,34678,3934,2,1,Depth_2,STF,-47.99455,40,11.468,34.619,262,0.88,6.67,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,61,74.9,-171.5002,0,0.581,0.108,0.28,0,0,0,0,0,0.969,42521,0.61875,2,0,-171.5002,61,4948,74.9,741,102.100.100/37195,TRUE,SAMN08218992,marine metagenome,408172,102.100.100/37195_74,PRJ385736,582,-0.036,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,236.7,0.47,35.3206,,,,,,,,,
G37071,P15S_4034,37071,4034,2,1,Depth_2,STF,-47.499267,34.5,11.682,34.621,261.7,0.87,6.44,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,62,4.1,-171.19597,0,0.574,0.105,0.29,0,0,0,0,0,0.968,42521,0.901388889,2,0,-171.19597,62,5034,4.1,207,102.100.100/34424,FALSE,,,,,,584,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,238.9,0.46,35.2156,0.0866,0.039132651,0.019459871,0.933067533,,,,,
G37077,P15S_4135,37077,4135,2,1,Depth_2,STF,-47.112133,35.2,11.398,34.668,262.8,0.96,6.22,0.32,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,62,35.6,-171.19597,0,0.578,0.106,0.285,0,0,0,0,0,0.969,42521,0.901388889,2,0,-171.19597,62,5034,35.6,748,102.100.100/37202,TRUE,SAMN08218999,marine metagenome,408172,102.100.100/37202_35,PRJ385736,584,-0.002,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,238.5,0.48,35.2149,,,,,,,,,
G37083,P15S_4234,37083,4234,2,1,Depth_2,STF,-46.7187,40.4,11.514,34.68,262.2,0.91,5.95,0.31,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,62,59.2,-171.19597,0,0.58,0.108,0.281,0,0,0,0,0,0.969,42521,0.901388889,2,0,-171.19597,62,5034,59.2,747,102.100.100/37201,TRUE,SAMN08218998,marine metagenome,408172,102.100.100/37201_59,PRJ385736,584,-0.005,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,238.6,0.44,35.2154,,,,,,,,,
G37089,P15S_4335,37089,4335,2,1,Depth_2,STF,-46.328533,24.7,11.797,34.674,261.1,0.74,5.44,0.29,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,64,6.6,-170.59835,0,0.604,0.097,0.27,0,0,0,0,0,0.971,42522,0.513194444,2,0,-170.59835,64,5301,6.6,208,102.100.100/34425,FALSE,,,,,,587,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,238.7,0.42,35.2379,0.079,,,,,,,,
G37095,P15S_4435,37095,4435,2,1,Depth_2,STF,-45.176767,34.1,12.421,34.724,259.5,0.46,3.93,0.28,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,64,51.1,-170.59835,0,0.611,0.105,0.255,0,0,0,0,0,0.97,42522,0.513194444,2,0,-170.59835,64,5301,51.1,754,102.100.100/37208,TRUE,SAMN08219005,marine metagenome,408172,102.100.100/37208_51,PRJ385736,587,-0.012,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,238.8,0.38,35.2375,,,,,,,,,
G37101,P15S_4534,37101,4534,2,1,Depth_2,STF,-44.834983,37.1,12.545,34.73,258.1,0.61,3.63,0.31,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,64,73.9,-170.59835,0,0.614,0.108,0.247,0,0,0,0,0,0.97,42522,0.513194444,2,0,-170.59835,64,5301,73.9,356,102.100.100/34573,FALSE,,,,,,587,1.142,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,242.8,0.44,35.1799,,0.038958814,0.018538901,0.934557041,,2082.3,2296.1,,
G37107,P15S_4634,37107,4634,2,1,Depth_2,STF,-44.522333,25.7,12.675,34.734,257.6,0.37,3.43,0.31,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,65,4.6,-170.2935,0,0.692,0.051,0.258,0,0,0,0,0,1.001,42522,0.7875,2,0,-170.2935,65,5088,4.6,209,102.100.100/34426,FALSE,,,,,,589,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,234,0.26,35.4005,,0,0,1,,,,,
G37113,P15S_4734,37113,4734,2,1,Depth_2,STF,-44.328417,61.4,12.425,34.702,265.4,0.54,4.01,0.34,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,65,34.6,-170.2935,0,0.676,0.074,0.245,0,0,0,0,0,0.995,42522,0.7875,2,0,-170.2935,65,5088,34.6,760,102.100.100/37214,TRUE,SAMN08219011,marine metagenome,408172,102.100.100/37214_34,PRJ385736,589,0.005,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,234.2,0.34,35.4057,,0,0,1,,,,,
G37119,P15S_4827,37119,4827,2,1,Depth_2,STF,-44.1559,38.2,13.425,34.871,259.8,0.56,2.17,0.26,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,65,86.1,-170.2935,0,0.646,0.109,0.215,0,0,0,0,0,0.971,42522,0.7875,2,0,-170.2935,65,5088,86.1,357,102.100.100/34574,FALSE,,,,,,589,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,243.1,0.47,35.2352,,0.079050817,0.127324417,0.785311417,,2079.5,2306.9,,
G37125,P15S_4934,37125,4934,2,1,Depth_2,STF,-42.932233,50,14.187,35.038,252.8,0.74,1.81,0.22,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,66,4.9,-169.995,0,0.642,0.102,0.227,0,0,0,0,0,0.971,42522,0.088194444,2,0,-169.995,66,5081,4.9,210,102.100.100/34427,FALSE,,,,,,592,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,232.9,,35.5003,0.0945,,,,,2080.9,2310.2,,
G37131,P15S_5034,37131,5034,2,1,Depth_2,STF,-42.75055,50.7,14.208,35.034,254.1,0.77,1.69,0.22,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,66,20.1,-169.995,0,0.643,0.103,0.224,0,0,0,0,0,0.971,42522,0.088194444,2,0,-169.995,66,5081,20.1,766,102.100.100/37220,TRUE,SAMN08219017,marine metagenome,408172,102.100.100/37220_20,PRJ385736,592,-0.001,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,232.7,,35.499,,,,,,2079.2,2309.8,,
G37137,P15S_5135,37137,5135,2,1,Depth_2,STF,-42.39617,21,15.615,35.188,241.9,0.54,0.67,0.24,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,66,66.3,-169.995,0,0.647,0.108,0.216,0,0,0,0,0,0.971,42522,0.088194444,2,0,-169.995,66,5081,66.3,765,102.100.100/37219,TRUE,SAMN08219016,marine metagenome,408172,102.100.100/37219_66,PRJ385736,592,-0.021,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,232.4,,35.5024,,,,,,,,,
G37143,P15S_5235,37143,5235,2,1,Depth_2,STF,-42.169,24.9,15.259,35.087,244.9,0.32,0.6,0.23,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,67,5.2,-170.00705,0,0.759,0.114,0.11,0,0,0,0,0,0.983,42523,0.338194444,2,0,-170.00705,67,4368,5.2,211,102.100.100/34428,FALSE,,,,,,593,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,233.3,0.3,35.4458,0.0947,,,,,,,,
G37148,P15S_5335,37148,5335,2,1,Depth_2,STF,-41.72763,35.2,15.578,35.154,243.2,0.73,0.61,0.24,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,67,26,-170.00705,0,0.735,0.116,0.127,0,0,0,0,0,0.978,42523,0.338194444,2,0,-170.00705,67,4368,26,772,102.100.100/37226,TRUE,SAMN08219023,marine metagenome,408172,102.100.100/37226_26,PRJ385736,593,-0.017,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,233.3,0.27,35.445,,,,,,2071.6,2315.9,,
G37154,P15S_5434,37154,5434,2,1,Depth_2,STF,-41.27282,39.9,15.409,35.112,244.3,0.22,0.14,0.09,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,67,50.4,-170.00705,0,0.706,0.118,0.148,0,0,0,0,0,0.973,42523,0.338194444,2,0,-170.00705,67,4368,50.4,771,102.100.100/37225,TRUE,SAMN08219022,marine metagenome,408172,102.100.100/37225_50,PRJ385736,593,-0.019,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,233.3,0.31,35.4403,,,,,,,,,
G37160,P15S_5535,37160,5535,2,1,Depth_2,STF,-40.83538,23.6,15.383,35.09,243.8,0.21,0.16,0.11,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,68,5.7,-170.00248,0,0.732,0,0.235,0,0,0,0,0,0.967,42523,0.588888889,2,0,-170.00248,68,4914,5.7,212,102.100.100/34429,FALSE,,,,,,595,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,233,0.28,35.4808,,,,,,,,,
G37166,P15S_5635,37166,5635,2,1,Depth_2,STF,-40.39737,35.6,15.462,35.116,243.7,0.25,0.15,0.1,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,68,35.7,-170.00248,0,0.715,0.065,0.22,0,0,0,0,0,1,42523,0.588888889,2,0,-170.00248,68,4914,35.7,778,102.100.100/37232,TRUE,SAMN08219029,marine metagenome,408172,102.100.100/37232_35,PRJ385736,595,-0.01,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,233,0.32,35.4789,,,,,,,,,
G37172,P15S_5734,37172,5734,2,1,Depth_2,SPSG,-39.96945,41.4,15.63,35.18,241.9,0.39,0.13,0.07,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,68,85.4,-170.00248,0,0.679,0.109,0.183,0,0,0,0,0,0.971,42523,0.588888889,2,0,-170.00248,68,4914,85.4,360,102.100.100/34577,FALSE,,,,,,595,-0.043,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,233.5,0.29,35.4642,,,,,,2071,2318.9,,
G37178,P15S_5835,37178,5835,2,1,Depth_2,SPSG,-39.51513,24.9,16.22,35.302,237.3,0.25,0.11,0.06,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,69,6.1,-169.99127,0,0.677,0.103,0.191,0,0,0,0,0,0.971,42523,0.875,2,0,-169.99127,69,5264,6.1,213,102.100.100/34430,FALSE,,,,,,597,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,232.7,0.3,35.4966,0.0842,,,,,,,,
G37184,P15S_5935,37184,5935,2,1,Depth_2,SPSG,-39.07282,35.3,16.585,35.276,236.5,0.23,0.03,0.001,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,69,19.6,-169.99127,0,0.677,0.104,0.189,0,0,0,0,0,0.971,42523,0.875,2,0,-169.99127,69,5264,19.6,784,102.100.100/37238,TRUE,SAMN08219035,marine metagenome,408172,102.100.100/37238_19,PRJ385736,597,0.017,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,232.6,0.3,35.4927,,,,,,2069,2320,,
G37190,P15S_6035,37190,6035,2,1,Depth_2,SPSG,-38.6344,20,16.776,35.292,235.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,69,63.5,-169.99127,0,0.679,0.108,0.184,0,0,0,0,0,0.971,42523,0.875,2,0,-169.99127,69,5264,63.5,783,102.100.100/37237,TRUE,SAMN08219034,marine metagenome,408172,102.100.100/37237_63,PRJ385736,597,0.015,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,232.7,0.25,35.4883,,,,,,,,,
G37196,P15S_6135,37196,6135,2,1,Depth_2,SPSG,-38.19017,25.2,17.041,35.322,233.8,0.4,0.01,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,70,4.5,-170.00213,0,0.764,0.096,0.127,0,0,0,0,0,0.988,42523,0.176388889,2,0,-170.00213,70,5501,4.5,214,102.100.100/34431,FALSE,,,,,,599,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,231.5,,35.5474,0.0852,,,,,2068.2,2322.8,,
G37202,P15S_6235,37202,6235,2,1,Depth_2,SPSG,-37.7638,35.6,16.66,35.215,235.9,0.23,0.02,0.01,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,70,25.7,-170.00213,0,0.739,0.1,0.144,0,0,0,0,0,0.983,42523,0.176388889,2,0,-170.00213,70,5501,25.7,790,102.100.100/37244,TRUE,SAMN08219041,marine metagenome,408172,102.100.100/37244_25,PRJ385736,599,0.11,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,231.9,,35.5164,,,,,,2066.4,2316,,
G37208,P15S_6434,37208,6434,2,1,Depth_2,SPSG,-36.87545,51.1,16.787,35.238,240.3,0.09,0.01,0.01,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,70,49.9,-170.00213,0,0.711,0.104,0.163,0,0,0,0,0,0.977,42523,0.176388889,2,0,-170.00213,70,5501,49.9,789,102.100.100/37243,TRUE,SAMN08219040,marine metagenome,408172,102.100.100/37243_49,PRJ385736,599,0.148,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,232,,35.5076,,,,,,,,,
G37214,P15S_6535,37214,6535,2,1,Depth_2,SPSG,-36.45077,34.6,17.8,35.399,235.4,0,0.01,0.001,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,71,6.8,-169.99478,0,0.711,0.081,0.189,0,0,0,0,0,0.982,42524,0.476388889,3,0,-169.99478,71,5567,6.8,215,102.100.100/34432,FALSE,,,,,,600,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,228.2,0.3,35.7083,0.0786,,,,,,,,
G37220,P15S_6635,37220,6635,2,1,Depth_2,SPSG,-36.0069,20.1,18.179,35.499,233.7,0.35,0.02,0.001,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,71,35.3,-169.99478,0,0.707,0.094,0.175,0,0,0,0,0,0.976,42524,0.476388889,3,0,-169.99478,71,5567,35.3,796,102.100.100/37250,TRUE,SAMN08219046,marine metagenome,408172,102.100.100/37250_35,PRJ385736,600,-0.011,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,228.3,0.36,35.7084,,,,,,2065.8,2331.1,,
G37226,P15S_6735,37226,6735,2,1,Depth_2,SPSG,-35.68073,26,18.043,35.446,234.6,0.19,0.01,0.001,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,71,59.6,-169.99478,0,0.703,0.104,0.163,0,0,0,0,0,0.971,42524,0.476388889,3,0,-169.99478,71,5567,59.6,795,102.100.100/37249,FALSE,,,,,,600,-0.016,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,228.3,0.33,35.7083,,,,,,,,,
G37232,P15S_6835,37232,6835,2,1,Depth_2,SPSG,-35.33387,35.7,18.137,35.48,234.2,0.17,0.02,0.001,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,72,7.1,-170.00175,0,0.699,0.099,0.173,0,0,0,0,0,0.971,42524,0.759722222,3,0,-170.00175,72,5445,7.1,216,102.100.100/34433,FALSE,,,,,,603,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,227.6,0.32,35.7313,,,,,,2066.1,2329.8,,
G37238,P15S_6935,37238,6935,2,1,Depth_2,SPSG,-35.01347,19.6,18.198,35.493,233.6,0,0.02,0.001,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,72,20.3,-170.00175,0,0.7,0.1,0.171,0,0,0,0,0,0.971,42524,0.759722222,3,0,-170.00175,72,5445,20.3,802,102.100.100/37256,TRUE,SAMN08219052,marine metagenome,408172,102.100.100/37256_20,PRJ385736,603,-0.007,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,227.6,0.35,35.7303,,,,,,,,,
G37244,P15S_7035,37244,7035,2,1,Depth_2,SPSG,-34.50183,25.7,18.423,35.516,232.4,0.11,0.03,0.001,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,72,66.8,-170.00175,0,0.704,0.105,0.162,0,0,0,0,0,0.971,42524,0.759722222,3,0,-170.00175,72,5445,66.8,801,102.100.100/37255,TRUE,SAMN08219051,marine metagenome,408172,102.100.100/37255_66,PRJ385736,603,-0.004,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,227.9,0.36,35.7219,,,,,,,,,
G37250,P15S_7135,37250,7135,2,1,Depth_2,SPSG,-33.9845,35.3,19.167,35.708,228.5,0.13,0.005,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,73,5.5,-170.00272,0,0.722,0.088,0.162,0,0,0,0,0,0.972,42524,0.061111111,3,0,-170.00272,73,5604,5.5,217,102.100.100/34434,FALSE,,,,,,605,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,226.2,,35.8066,0.087,,,,,,,,
G37256,P15S_7235,37256,7235,2,1,Depth_2,SPSG,-33.50157,20.3,19.259,35.73,228,0.1,0.02,0.001,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,73,48.6,-170.00272,0,0.725,0.096,0.151,0,0,0,0,0,0.972,42524,0.061111111,3,0,-170.00272,73,5604,48.6,808,102.100.100/37262,TRUE,SAMN08219058,marine metagenome,408172,102.100.100/37262_48,PRJ385736,605,-0.012,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,226.2,,35.7991,,,,,,,,,
G37262,P15S_7334,37262,7334,2,1,Depth_2,SPSG,-32.99528,48.6,19.884,35.807,226.1,0,0.005,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,73,83.8,-170.00272,0,0.727,0.103,0.142,0,0,0,0,0,0.972,42524,0.061111111,3,0,-170.00272,73,5604,83.8,365,102.100.100/34582,FALSE,,,,,,605,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,229.6,,35.7109,,,,,,,,,
G37268,P15S_7435,37268,7435,2,1,Depth_2,SPSG,-32.49512,20.7,20.004,35.811,225.1,0.08,0.01,0.001,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,74,4.9,-169.99072,0,0.789,0,0.284,0,0,0,0,0,1.074,42525,0.402777778,3,0,-169.99072,74,5553,4.9,218,102.100.100/34435,FALSE,,,,,,607,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,225.4,0.26,35.815,0.0924,,,,,,,,
G37274,P15S_7535,37274,7535,2,1,Depth_2,SPSG,-32.00123,20.1,20.886,35.857,221,0,0.01,0.001,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,74,20.7,-169.99072,0,0.782,0,0.255,0,0,0,0,0,1.036,42525,0.402777778,3,0,-169.99072,74,5553,20.7,814,102.100.100/37268,TRUE,SAMN08219064,marine metagenome,408172,102.100.100/37268_20,PRJ385736,607,0.012,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,225.4,0.28,35.8107,,,,,,2045,2350.1,,
G37280,P15S_7635,37280,7635,2,1,Depth_2,SPSG,-31.48955,26.7,21.298,35.85,220,0.04,0.02,0.001,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,74,91.2,-169.99072,0,0.747,0.102,0.123,0,0,0,0,0,0.972,42525,0.402777778,3,0,-169.99072,74,5553,91.2,366,102.100.100/34583,FALSE,,,,,,607,0.094,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,226,0.3,35.785,,,,,,,,,
G37286,P15S_7734,37286,7734,2,1,Depth_2,SPSG,-31.00057,60.9,20.876,35.885,222.3,0.01,0.005,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,75,3.8,-169.9937,0,0.743,0.093,0.133,0,0,0,0,0,0.97,42525,0.7,3,0,-169.9937,75,5698,3.8,219,102.100.100/34436,FALSE,,,,,,609,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,221.8,0.24,35.857,0.0887,,,,,,,,
G37292,P15S_7834,37292,7834,2,1,Depth_2,SPSG,-30.5042,40.9,21.423,35.874,219.2,0.15,0.01,0.001,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,75,20.1,-169.9937,0,0.744,0.095,0.131,0,0,0,0,0,0.971,42525,0.7,3,0,-169.9937,75,5698,20.1,820,102.100.100/37274,TRUE,SAMN08219070,marine metagenome,408172,102.100.100/37274_20,PRJ385736,609,0.008,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,221.5,0.27,35.8576,,,,,,2043.4,2352.9,,
G37297,P15S_7935,37297,7935,2,1,Depth_2,SPSG,-29.99063,26.9,21.01,35.878,220.8,0.34,0.005,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,75,66.6,-169.9937,0,0.747,0.099,0.125,0,0,0,0,0,0.971,42525,0.7,3,0,-169.9937,75,5698,66.6,819,102.100.100/37273,TRUE,SAMN08219069,marine metagenome,408172,102.100.100/37273_66,PRJ385736,609,0.013,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,221.8,0.26,35.8543,,,,,,,,,
G37303,P15S_8035,37303,8035,2,1,Depth_2,SPSG,-29.499,35.4,21.016,35.877,220.7,0.34,0.005,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,76,3.5,-169.97893,0,0.916,0.069,0,0,0,0,0,0,0.985,42525,0.990277778,3,0,-169.97893,76,5554,3.5,220,102.100.100/34437,FALSE,,,,,,611,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,220.5,0.25,35.85,,,,,,2049.5,2351.8,,
G37309,P15S_8135,37309,8135,2,1,Depth_2,SPSG,-28.99925,19.9,22.153,35.841,216.4,0.31,0.01,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,76,26.7,-169.97893,0,0.88,0.081,0,0,0,0,0,0,0.961,42525,0.990277778,3,0,-169.97893,76,5554,26.7,826,102.100.100/37280,TRUE,SAMN08219076,marine metagenome,408172,102.100.100/37280_26,PRJ385736,611,-0.004,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,220.3,0.23,35.8507,,,,,,,,,
G37315,P15S_8234,37315,8234,2,1,Depth_2,SPSG,-28.50127,41.1,22.082,35.856,216.3,0.1,0.02,0.001,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEW,SAMW,76,51.2,-169.97893,0,0.842,0.093,0,0,0,0,0,0,0.934,42525,0.990277778,3,0,-169.97893,76,5554,51.2,368,102.100.100/34585,FALSE,,,,,,611,0.005,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,220.3,0.29,35.8558,,,,,,,,,
